date_period,measure,cdid,value,unit,pre_unit
1938,GG: Current receipts: Taxes on income and wealth (D51): £m CPNSA,NMZJ,,m,£
1938,GG: Current receipts: Taxes on production (D.2): £m CPNSA,NMYE,,m,£
1938,GG: General government condolidated gross debt (Maastricht): £m CPNSA,BKPX,,m,£
1938,GG: General government net debt: £m CPNSA,MDK2,,m,£
1938,GG: Gross Operating Surplus: £m CPNSA,NMXV,,m,£
1938,GG: Gross fixed capital formation: £m CPNSA,ANSE,,m,£
1938,GG: Increase in inventories and valuables: £m CPNSA,ANSF,,m,£
1938,GG: Interest & dividends (net) from public sector: £m CPNSA,ANSD,,m,£
1938,GG: Interest & dividends from private sector and rest of world: £m CPNSA,ANSC,,m,£
1938,GG: Level: AF.3 (excluding gilts): CG/LG cross holdings,JJ7A,,,
1938,GG: Level: AF.4: CG/LG cross holdings,JKSR,,,
1938,GG: Level: CG/LG cross holdings: debt securities (excl gilts) and loans: £m CP NSA,JM9U,,,
1938,GG: Local government bank and building society depostits: £m CPNSA,BKSO,,,
1938,GG: Local government gross debt: Loans: £m CPNSA,MUF5,,£,m
1938,GG: Local government gross debt: Money market instruments: £m CPNSA,NJHZ,,m,£
1938,GG: Local government other liquid assets (short term assets): £m CPNSA,BKQG,,,
1938,GG: Net Financial Liabilities: NSA:£m,CPPJ,,,
1938,GG: Net acquisition of company securities: £m CPNSA,ANSI,,m,£
1938,GG: Net cash requirement / market and overseas borrowing: £m CPNSA,RUUI,,m,£
1938,GG: Net cash requirement: £m CPNSA,RUUS,,m,£
1938,GG: Net lending to private sector and Rest of World: £m CPNSA,ANSH,,m,£
1938,GG: Other financial transactions: £m CPNSA,ANSL,,m,£
1938,GG: PA: Resources: Consumption of fixed capital: P51c NSA CP,NMXO,,,
1938,"GG: Saving, gross plus capital taxes: £m CPNSA",ANSA,,m,£
1938,"GG: Subsidies, Total paid (D3): CP NSA",NMRL,,,
1938,GG: Total current expenditure: £m CPNSA,ANLR,,m,£
1938,GG: Total current receipts: £m CPNSA,ANBY,,m,£
1938,GG: Total net investment: £m CPNSA,ANNV,,m,£
1938,General Government (S.13): Net lending (+) / Net borrowing (-) (B.9N): CP £m: NSA,NNBK,,m,£
1938,General Government Gross Debt as a %GDP: CPNSA,A3PW,,,
1938,General Government Net Borrowing as a %GDP: CPNSA,A3PT,,,
1938,General Government: Net Worth: (B.90): £m: CP: NSA,JDUX,,,
1938,LA Finance: Total transactions in assets #m,EYJQ,,,
1938,LA Gross fixed capital formation + Land (P51+K2),ANCY,,,
1938,LA finance: Bank deposits & short-term assets #m,AMIO,,,
1938,LA finance: Borrowing other than direct from central govt £m,ABED,,,
1938,LA finance: LA temporary debt #m,AAEF,,,
1938,LA finance: Long term marketable debt #m,ADGI,,,
1938,LA finance: Long term non-marketable debt #m,ADGJ,,,
1938,LA finance: central government debt £m,ABEE,,,
1938,LA finance: public corporations debt #m,AAEJ,,,
1938,"LG : D2 Taxes on Imports and Production, received NSA",DMHD,,,
1938,LG Gross Debt (Unconsolidated) Total: Maastricht News Release Table 2,EYKP,,m,£
1938,LG Net current grants abroad (PSAT2),C626,,,
1938,LG: Accounts receivable/payable (F7 net): £m CPNSA,ANML,,m,£
1938,LG: Capital grants from private sector: £m CPNSA,ANNO,,m,£
1938,LG: Current budget deficit (B8N): £m CPNSA,NMMX,,m,£
1938,LG: Current expenditure: Goods and services (P3): Total £m CPNSA,GZSM,,m,£
1938,LG: Current expenditure: Goods and services: Staff costs (D1): £m CPNSA,NMJE,,m,£
1938,LG: Current expenditure: Interest: £m CPNSA,NUGW,,m,£
1938,LG: Current expenditure: Market output: P11 & P131:£m,AE76,,,
1938,LG: Current expenditure: Net current grants abroad (D75): £m CPNSA,EBFE,,m,£
1938,LG: Current expenditure: Net social benefits: Other: £m CPNSA,MSF2,,m,£
1938,LG: Current expenditure: Net social benefits: Total (D62): £m CPNSA,GZSK,,m,£
1938,LG: Current expenditure: Other: £m CPNSA,MSE3,,m,£
1938,LG: Current expenditure: Purchase of goods and services: £m CPNSA,MSE9,,m,£
1938,LG: Current expenditure: Subsidies: £m CPNSA,ADAK,,m,£
1938,LG: Current receipts: Interest and dividends (net) from public sector: £m CPNSA,ANPZ,,m,£
