date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1806,Debt Interest9,NMFX,23.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1806,Defence5,,40.0,32,PublicFinances1800-2023,,Government Spending,,
1806,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1806,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1806,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1806,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1806,Income tax1,LIBR-MS62,7.0,5,PublicFinances1800-2023,,Tax Receipts,,
1806,"Index, base year = 100",MM23,12.6,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1806,Land and Assessed Taxes,,7.0,5,PublicFinances1800-2023,,Tax Receipts,,
1806,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1806,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",438.0,393,PublicFinances1800-2023,,Economic Indicators,,
1806,Nominal GDP (£m)3,Nominal GDP (£m)3,424.0,355,PublicFinances1800-2023,,Economic Indicators,,
1806,Other Central Government Receipts6,Residual,7.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1806,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1806,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1806,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",12.0,21,PublicFinances1800-2023,,Fiscal Position,,
1806,Public sector net debt (PSND)2,Public sector net debt (PSND)2,649.0,508,PublicFinances1800-2023,,Fiscal Position,,
1806,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1806,Stamp duties,GTBC,5.0,3,PublicFinances1800-2023,,Tax Receipts,,
1806,Total Central Government spending1,ANLP + ANNS + NSRN,72.0,50,PublicFinances1800-2023,,Government Spending,,
1806,Unit,Source dataset ID,1806.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1806,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1806,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
