year,age_group,sex,population
1947,45-54,Female,2974000
1947,55-64,Female,2444000
1947,65-74,Female,1755000
1947,75-84,Female,738000
1947,85+,Female,125000
1947,0-4,Male,1806000
1947,5-14,Male,2843000
1947,15-24,Male,2173000
1947,25-34,Male,3045000
1947,35-44,Male,3259000
1947,45-54,Male,2580000
1947,55-64,Male,2001000
1947,65-74,Male,1359000
1947,75-84,Male,489000
1947,85+,Male,57000
1948,0-4,Female,1780000
1948,5-14,Female,2784000
1948,15-24,Female,2932000
1948,25-34,Female,3289000
1948,35-44,Female,3419000
1948,45-54,Female,3010000
1948,55-64,Female,2470000
1948,65-74,Female,1790000
1948,75-84,Female,771000
1948,85+,Female,135000
1948,0-4,Male,1872000
1948,5-14,Male,2888000
1948,15-24,Male,2517000
1948,25-34,Male,3148000
1948,35-44,Male,3313000
1948,45-54,Male,2665000
1948,55-64,Male,2020000
1948,65-74,Male,1372000
1948,75-84,Male,513000
1948,85+,Male,62000
1949,0-4,Female,1803000
1949,5-14,Female,2844000
1949,15-24,Female,2904000
1949,25-34,Female,3253000
1949,35-44,Female,3427000
1949,45-54,Female,3051000
1949,55-64,Female,2490000
1949,65-74,Female,1816000
1949,75-84,Female,792000
1949,85+,Female,140000
1949,0-4,Male,1898000
1949,5-14,Male,2952000
1949,15-24,Male,2526000
1949,25-34,Male,3135000
1949,35-44,Male,3336000
1949,45-54,Male,2739000
1949,55-64,Male,2026000
1949,65-74,Male,1376000
1949,75-84,Male,527000
1949,85+,Male,65000
1950,0-4,Female,1818000
1950,5-14,Female,2894000
1950,15-24,Female,2899000
1950,25-34,Female,3220000
1950,35-44,Female,3431000
1950,45-54,Female,3088000
1950,55-64,Female,2513000
1950,65-74,Female,1841000
1950,75-84,Female,812000
1950,85+,Female,145000
1950,0-4,Male,1907000
1950,5-14,Male,3011000
1950,15-24,Male,2832000
1950,25-34,Male,3188000
1950,35-44,Male,3381000
1950,45-54,Male,2822000
1950,55-64,Male,2038000
1950,65-74,Male,1380000
1950,75-84,Male,542000
1950,85+,Male,68000
1951,0-4,Female,1819000
1951,5-14,Female,2945000
1951,15-24,Female,2857000
1951,25-34,Female,3219000
1951,35-44,Female,3385000
1951,45-54,Female,3129000
1951,55-64,Female,2553000
1951,65-74,Female,1887000
1951,75-84,Female,837000
1951,85+,Female,140000
1951,0-4,Male,1910000
1951,5-14,Male,3064000
1951,15-24,Male,2750000
1951,25-34,Male,3148000
1951,35-44,Male,3285000
1951,45-54,Male,2878000
1951,55-64,Male,2033000
1951,65-74,Male,1372000
1951,75-84,Male,543000
1951,85+,Male,61000
1952,0-4,Female,1711000
1952,5-14,Female,3085000
