cause,icd_version,cause_description,level1_code,level1_name
189C,ICD-2 (1911-1920),Teething,,
189D,ICD-2 (1911-1920),Pyrexia,,
189E,ICD-2 (1911-1920),Other ill-defined deaths,,
189F,ICD-2 (1911-1920),Cause not specified,,
19A,ICD-2 (1911-1920),Mumps,,
19B,ICD-2 (1911-1920),German measles,,
19C,ICD-2 (1911-1920),Varicella,,
19D,ICD-2 (1911-1920),Other epidemic diseases,,
2.0,ICD-2 (1911-1920),,,
20A,ICD-2 (1911-1920),Pyaemia,,
20B,ICD-2 (1911-1920),Septicaemia,,
20C,ICD-2 (1911-1920),Vaccinia,,
21.0,ICD-2 (1911-1920),,,
22.0,ICD-2 (1911-1920),,,
23.0,ICD-2 (1911-1920),,,
24.0,ICD-2 (1911-1920),,,
25A,ICD-2 (1911-1920),Actinomycosis,,
25B,ICD-2 (1911-1920),Other mycoses,,
26.0,ICD-2 (1911-1920),,,
27.0,ICD-2 (1911-1920),,,
28A,ICD-2 (1911-1920),Pulmonary tuberculosis,,
28B,ICD-2 (1911-1920),Phthisis (not def. as t.b.),,
29A,ICD-2 (1911-1920),Acute phthisis,,
29B,ICD-2 (1911-1920),Acute miliary t.b.,,
30.0,ICD-2 (1911-1920),,,
31A,ICD-2 (1911-1920),Tabes mesenterica,,
31B,ICD-2 (1911-1920),Other peritoneal & intestinal tubercle,,
32.0,ICD-2 (1911-1920),,,
33.0,ICD-2 (1911-1920),,,
34A,ICD-2 (1911-1920),Lupus,,
34B,ICD-2 (1911-1920),Scrofula,,
34C,ICD-2 (1911-1920),T.b. of other organs,,
35.0,ICD-2 (1911-1920),,,
36A,ICD-2 (1911-1920),Rickets,,
36B,ICD-2 (1911-1920),Other forms of bone softening,,
37.0,ICD-2 (1911-1920),,,
38A,ICD-2 (1911-1920),Soft chancre,,
38B,ICD-2 (1911-1920),Gonococcus infection,,
38C,ICD-2 (1911-1920),Purulent ophthalmia,,
39.0,ICD-2 (1911-1920),,,
3A,ICD-2 (1911-1920),Relapsing fever,,
3B,ICD-2 (1911-1920),Mediterranean fever,,
4.0,ICD-2 (1911-1920),,,
40.0,ICD-2 (1911-1920),,,
41.0,ICD-2 (1911-1920),,,
42.0,ICD-2 (1911-1920),,,
43.0,ICD-2 (1911-1920),,,
44.0,ICD-2 (1911-1920),,,
45.0,ICD-2 (1911-1920),,,
46A,ICD-2 (1911-1920),Angioma,,
46B,ICD-2 (1911-1920),Adenoma,,
46C,ICD-2 (1911-1920),Other tumours (situation undefined),,
47.0,ICD-2 (1911-1920),,,
48A,ICD-2 (1911-1920),Chronic rheumatism,,
48B,ICD-2 (1911-1920),Osteo-arthritis,,
48C,ICD-2 (1911-1920),Gout,,
49.0,ICD-2 (1911-1920),,,
5.0,ICD-2 (1911-1920),,,
50.0,ICD-2 (1911-1920),,,
51.0,ICD-2 (1911-1920),,,
52.0,ICD-2 (1911-1920),,,
53A,ICD-2 (1911-1920),Leucocythaemia (Leuchaemia),,
53B,ICD-2 (1911-1920),Lymphadenoma,,
54.0,ICD-2 (1911-1920),,,
55A,ICD-2 (1911-1920),Diabetes insipidus,,
55B,ICD-2 (1911-1920),Purpura,,
55C,ICD-2 (1911-1920),Haemophilia,,
55D,ICD-2 (1911-1920),Other general diseases,,
